,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
82,83,SPITALUL CLINIC COLTEA,A091,Bucuresti,I M,general,public,clinic cu sectii universitare,"str. Sfanta Ecaterina, nr 3, sector 4, Bucuresti",secretariat@coltea.ro,www.coltea.ro,ASSMB,Acreditat,Unitate aflata in proces de acreditare,,,
83,84,SPITALUL ORASENESC HATEG,A093,Hunedoara,IV,general,public,fara invatamant,"PIATA UNIRII, NR. 6",SPITAL_HATEG@YAHOO.COM,WWW.SPITALHATEG.RO,PRIMARIA ORASULUI HATEG,Acreditat,Unitate aflata in proces de acreditare,,,
84,85,MED LIFE SA BUCURE?TI- SUCURSALA BUCURE?TI,A094,Bucuresti,III,general,privat,fara invatamant,CALEA GRIVITEI NR. 365 BUCURESTI,office@medlife.ro,www.medlife.ro,MEDLIFE SA,Acreditat,Categoria II Acreditat cu recomandari,,,
85,86,SPITALUL MUNICIPAL SEBES,A095,Alba,IV,general,public,fara invatamant,"SEBEs, STR. PIAtA PRIMaRIEI, NR.1",spitalul_sebes@yahoo.com,www.spitalulsebes.ro,CONSILIUL LOCAL AL MUNICIPIULUI SEBES,Acreditat,Unitate aflata in proces de acreditare,,,
86,87,"SPITAL MUNICIPAL ""DIMITRIE CASTROIAN"" HUSI",A096,Vaslui,IV,general,public,fara invatamant,"STR.1 DECEMBRIE NR.9, HUSI, JUD.VASLUI",administrativ@spitalmunicipalhusi.ro,spitalmunicipalhusi.ro,CONSILIUL LOCAL HUSI,Acreditat,Unitate aflata in proces de acreditare,,,
87,88,SPITALUL ORA?ENESC OTELU-RO?U,A097,Caras-Severin,IV,general,public,fara invatamant,"OTELU ROSU, ROZELOR NR.2",spiorcs@spitalotelurosu.ro,www.spitalotelurosu.ro,CONSILIUL LOCAL,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
88,89,SPITALUL DE PNEUMOFTIZIOLOGIE BISERICANI,A098,Neamt,V,specialitate,public,fara invatamant,"Str. Cuza Voda Comuna Alexandru cel Bun, judetul Neamt",office@spitalulbisericani.ro,www.spitalulbisericani.ro,Primaria Comunei Alexandru cel Bun,Acreditat,Unitate aflata in proces de acreditare,,,
89,90,SPITALUL ORASENESC VALENII DE MUNTE,A099,Prahova,IV,general,public,fara invatamant,"VALENII DE MUNTE, STR.BEREVOIESTI NR.3A",spitalvaleni@yahoo.com,www.spitalulvaleni.ro,CONSILIUL LOCAL VALENII DE MUNTE,Acreditat,Unitate aflata in proces de acreditare,,,
90,91,"SPITALUL MUNICIPAL ""ANTON CINCU"" TECUCI",A100,Galati,IV,general,public,fara invatamant,Str. Decembrie 1918 Nr. 66,anton_cincu2006@yahoo.com,www.spitaltecuci.com,UAT Municipiul Tecuci,Acreditat,Unitate aflata in proces de acreditare,,,
91,92,INSTITUTUL REGIONAL DE ONCOLOGIE,A1000,Iasi,I M,specialitate,public,institut,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",oncoiasi@iroiasi.ro,www.iroiasi.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
92,93,SPITALUL JUDETEAN DE URGENTA ALBA IULIA,A10000,Alba,III,urgenta,public,fara invatamant,"ALBA IULIA, PIATA I.C. BRATIANU NR.1",spjudalba@gmail.com,http://www.spitalalba.ro/wp/,CONSILIUL JUDETEAN ALBA,Acreditat,Unitate aflata in proces de acreditare,,,
93,94,"SPITALUL DE RECUPERARE NEUROMOTORIE ""DR.CORNELIU BARSAN"" DEZNA",A10001,Arad,V,specialitate,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti","office@spitaluldezna.ro , spitaluldezna@yahoo.com",www.spitaluldezna.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
94,95,SPITALUL JUDETEAN DE URGENTA BACAU,A10002,Bacau,II,urgenta,public,fara invatamant,"Calea Marasesti nr.2, cod 600017, Bacau, jud. Bacau",informatii@sjubc.ro,sjubc.ro,Consiliul Judetean Bacau,Acreditat,Unitate aflata in proces de acreditare,,,
95,96,SPITALUL MUNICIPAL SALONTA,A10003,Bihor,IV,general,public,fara invatamant,SALONTA STR REPUBLICII NR 1,spitalulsalonta@gmail.com,www.spitalulsalonta.ro,CONSILIUL LOCAL SALONTA,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
96,97,SPITALUL CLINIC JUDETEAN DE URGENTA ORADEA,A10004,Bihor,II,urgenta,public,clinic cu sectii universitare,"PIATA UNIRII NR. 1, 410100, ORADEA, BIHOR",spitalul.judetean@rdsor.ro,www.spitaljudetean-oradea.ro,PRIMARIA ORADEA,Acreditat,Unitate aflata in proces de acreditare,,,
97,98,SPITAL MUNICIPAL 'DR. POP MIRCEA' MARGHITA,A10005,Bihor,IV,general,public,fara invatamant,Marghita C.Republicii nr.1,spitalulmarghita@yahoo.com,www.spitalulmarghita.ro,PRIMARIA MUNICIPIULUI MARGHITA,Acreditat,Unitate aflata in proces de acreditare,,,
98,99,PREVENTORIUL TBC DE COPII,A10006,Bistrita-Nasaud,V,specialitate,public,fara invatamant,"LOC.URIU,NR.317,JUD.BISTRITA NASAUD",Preventoriul.Ilisua@yahoo.com,preventoriulilisua.bistrita.ro,CONSILIUL LOCAL URIU,Acreditat,Unitate aflata in proces de acreditare,,,
99,100,SPITALUL JUDETEAN DE URGENTA BISTRITA,A10007,Bistrita-Nasaud,III,urgenta,public,fara invatamant,Piata Petru Rares nr. 1,spital.bistrita@gmail.com,sjub.ro,Consiliul Judetean Bistrita-Nasaud,Acreditat,Unitate aflata in proces de acreditare,,,
100,101,TEO HEALTH S.A,A10009,Brasov,IV,general,privat,fara invatamant,"Iuliu Maniu, nr 49",contact@spitalulsfconstantin.ro,www spitalulsfconstantin.ro,Teo Health SA,Acreditat,Unitate aflata in proces de acreditare,,,
101,102,"INSTITUTUL DE PNEUMOFTIZIOLOGIE ""MARIUS NASTA",A10010,Bucuresti,I M,specialitate,public,institut,"Strada Cristian Popisteanu, Nr.1-3, Sector 1, Bucuresti",secretariat@marius-nasta.ro,www.marius-nasta.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
102,103,WEST EYE HOSPITAL SRL,A10011,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Calea Vitan 137-139, Sector 3, Bucuresti",info@westeyehospital.ro,www.westeyehospital.ro,Unitate privata - WEST EYE HOSPITAL,Acreditat,Unitate aflata in proces de acreditare,,,
103,104,MEDICAL ANALYSIS CONSTANTA,A10012,Constanta,V,afectiuni cronice,privat,fara invatamant,STR. GENERAL MANU NR.58,medicalanalysis@yahoo.com,www.medicalanalysis.ro,MEDICAL ANALYSIS SRL,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
104,105,SPITALUL MILITAR DE URGENTA DR. ALEXANDRU GAFENCU CONSTANTA,A10013,Constanta,III,urgenta,public,fara invatamant,"BUCUREsTI, Str Institutul Medico- Militar nr 3-5, Sector 1",MANAGEMENT_CALITATE@SMUCT.RO,WWW.SMUCT.RO,Ministerul de resort - MAPN prin DIRECtIA MEDICALa,Acreditat,Unitate aflata in proces de acreditare,,,
105,106,SPITALUL DE URGENTA TG CARBUNESTI,A10014,Gorj,III,urgenta,public,fara invatamant,"STR.TRANDAFIRILOR, NR.41",office@spitalcarbunesti.ro,www.spitalcarbunesti.ro,CONSILIUL LOCAL TARGU-CARBUNESTI,Acreditat,Unitate aflata in proces de acreditare,,,
106,107,SPITALUL MUNICIPAL ORASTIE,A10015,Hunedoara,IV,general,public,fara invatamant,"str.Pricazului, nr.16, Orastie, jud.Hunedoara",spital@spitmunor.ro,www.spitmunor.ro,Spitalul Municipal Orastie,Acreditat,Unitate aflata in proces de acreditare,,,
107,108,SANATORIUL DE PNEUMOFTIZIOLOGIE GEOAGIU,A10016,Hunedoara,V,specialitate,public,fara invatamant,"Deva,Str.1 Decembrie 1918, nr.28",info@sanatoriulgeoagiu.ro,www.sanatoriulgeoagiu.ro,CONSILIUL JUDETEAN HUNEDOARA,Acreditat,Unitate aflata in proces de acreditare,,,
108,109,"SPITALUL CLINIC DE OBSTETRICA SI GINECOLOGIE ""CUZA VODA"" IASI",A10017,Iasi,II M,specialitate,public,clinic cu sectii universitare,"MUN.IAsI, BD.sTEFAN CEL MARE sI SFaNT NR.69",contact@spitalcuzavodaiasi.ro,www.spitalcuzavodaiasi.ro,CONSILIUL JUDEtEAN IAsI,Acreditat,Unitate aflata in proces de acreditare,,,
109,110,SPITALUL GENERAL C.F. PASCANI,A10018,Iasi,IV,general,public,fara invatamant,"Bd. Dinicu Golescu nr. 38, sector 1, Bucuresti",spitalcfpascanimanager@gmail.com,www.spitalulgeneralcf-pascani.ro,Ministerul Transporturilor,Acreditat,Unitate aflata in proces de acreditare,,,
110,111,SPITALUL DE RECUPERARE BORSA,A10019,Maramures,IV,specialitate,public,fara invatamant,"Bucuresti,str.Cristian Popisteanu nr.1-3",spital_borsa@yahoo.com,www.spitalrecuperare.ro,Ministerul Sanatatii,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
111,112,SPITAL MUNICIPAL SIGHETU-MARMATIEI,A10020,Maramures,IV,general,public,fara invatamant,"Bogdan-Voda,Nr.14",spital@zifer.ro,www.spitalsighet.ro,Primaria Municipiului Sighetu-Marmatiei,Acreditat,Unitate aflata in proces de acreditare,,,
112,113,SPITALUL MUNICIPAL ORSOVA,A10021,Mehedinti,IV,general,public,fara invatamant,"ORSOVA, STR. 1 DECEMBRIE 1918 NR.20",spitalulorsova@gmail.com,www.spitalulmunicipalorsova.ro,PRIMARIA MUNICIPIULUI ORSOVA,Acreditat,Unitate aflata in proces de acreditare,,,
113,114,"SPITALUL MUNICIPAL ""DR. GHEORGHE MARINESCU",A10022,Mures,IV,general,public,fara invatamant,Piata Victoriei nr.1,spmtar@yahoo.com,www.spitaltarnaveni.ro,Consiliul Judetean Mures,Acreditat,Unitate aflata in proces de acreditare,,,
114,115,SPITALUL MUNICIPAL PLOIE?TI,A10023,Prahova,IV,general,public,fara invatamant,BD.REPUBLICII NR.2,SPITALSCHULLER@YAHOO.COM,SPITALULMUNICIPALPLOIESTI.RO,PRIMARIA MUNICIPIULUI PLOIESTI,Acreditat,Unitate aflata in proces de acreditare,,,
115,116,SPITALUL DE PNEUMOFTIZIOLOGIE DRAJNA,A10024,Prahova,V,specialitate,public,fara invatamant,"Sat Drajna de Sus, str. Neagoie Basarab. nr. 25",pnf_drajna@yahoo.com,www.sanatoriudrajna.ro,Consiliul Local Drajna,Acreditat,Unitate aflata in proces de acreditare,,,
116,117,"FUNDATIA �ACASA�- CENTRUL DE RECUPERARE,TRATAMENT SI INGRIJIRE �ACASA�",A10025,Salaj,V,specialitate,privat,fara invatamant,"STR. GHEORGHE DOJA, NR. 161, ZALAU, SALAJ",office@fundatiaacasa.ro,www.fundatiaacasa.ro,FUNDATIA ACASA ZALAU,Acreditat,Categoria II Acreditat cu recomandari,,,
117,118,SPITALUL JUDETEAN DE URGENTA ZALAU,A10026,Salaj,III,urgenta,public,fara invatamant,"Piata 1 Decembrie 1918 nr.12, Zalau cod 45008 Salaj",secretariat@spitalzalau.ro,htpp://www.spitalzalau.ro,CONSILIUL JUDETEAN SALAJ,Acreditat,Unitate aflata in proces de acreditare,,,
118,119,SPITALUL ORASENESC JIBOU DR. TRAIAN HERTA,A10027,Salaj,V,general,public,fara invatamant,"JIBOU, STR.1 DECEMBRIE , NR.4 JUDETUL SALAJ",spital.orasenescjibou@yahoo.com,www.spitaljibou.ro,CONSILIUL LOCAL JIBOU,Acreditat,Unitate aflata in proces de acreditare,,,
119,120,"SPITALUL DE PSIHIATRIE ""DR. GHEORGHE PREDA"" SIBIU",A10028,Sibiu,II M,specialitate,public,clinic cu sectii universitare,"str. General Magheru nr.14, SIBIU, JUD. SIBIU",office@medicina-psihiatrie.ro,www.medicina-psihiatrie.ro,CONSILIUL JUDETEAN SIBIU,Acreditat,Unitate aflata in proces de acreditare,,,
120,121,SPITALUL CLINIC JUDETEAN DE URGENTA SIBIU,A10029,Sibiu,II,urgenta,public,clinic cu sectii universitare,"Sibiu, Str. General Magheru nr. 14",secretariat@scjsu.ro,www.scjs.ro,Consiliul Judetean Sibiu,Acreditat,Unitate aflata in proces de acreditare,,,
121,122,SPITALUL CLINIC DE PEDIATRIE SIBIU,A10030,Sibiu,II M,specialitate,public,clinic cu sectii universitare,Str. Brukenthal nr. 2,secretariat@pediatriesibiu.ro,www.pediatriesibiu.ro,Primaria Municipiului Sibiu,Acreditat,Unitate aflata in proces de acreditare,,,
122,123,"SPITALUL MUNICIPAL ""DR. TEODOR ANDREI"" LUGOJ",A10031,Timis,IV,general,public,fara invatamant,"PiaTa Victoriei nr 4, Lugoj, judet Timis",municipal.lugoj@smlugoj.ro,www.smlugoj.ro,Consiliul Local Lugoj,Acreditat,Unitate aflata in proces de acreditare,,,
123,124,SPITALUL CLINIC C.F. TIMISOARA,A10032,Timis,IV,general,public,clinic cu sectii universitare,Bulevardul Dinicu Golescu nr. 38,secretariat@spitalcftm.ro,www.spitalcftm.ro,Ministerul Transporturilor,Acreditat,Unitate aflata in proces de acreditare,,,
124,125,SPITALUL JUDETEAN DE URGENTA VALCEA,A10033,Valcea,III,urgenta,public,fara invatamant,"general praporgescu, nr 1, rm. valcea",spitalul_valcea@yahoo.com,www.sjv.ro,consiliul judetean valcea,Acreditat,Unitate aflata in proces de acreditare,,,
125,126,"SPITALUL JUDETEAN DE URGENTA ""SF.PANTELIMON"" FOCSANI",A10034,Vrancea,III,urgenta,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",secretariat@spitalvn.ro,www.spitalvn.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
126,127,"SPITALUL MILITAR DE URGENTA ""DR. ALEXANDRU POPESCU"" FOC?ANI",A10035,Vrancea,III,urgenta,public,fara invatamant,STR INSTITUTUL MEDICO-MILITAR NR 3-5 SECTOR 1,smufocsani.info@gmail.com,www.smufocsani.ro,DIRECTIA MEDICALa,Acreditat,Unitate aflata in proces de acreditare,,,
127,128,"SPITALUL ORASENESC,,DR. ALEXANDRU BORZA"" ABRUD",A101,Alba,IV,general,public,fara invatamant,"PIATA EROILOR NR. 1 ABRUD, JUD. ALBA",spitalabrud1@gmail.com,www.spitalabrud.ro,CONSILIUL LOCAL ABRUD,Acreditat,Unitate aflata in proces de acreditare,,,
128,129,SPITALUL CLINIC DE BOLI INFECTIOASE CLUJ-NAPOCA,A102,Cluj,II M,specialitate,public,clinic cu sectii universitare,Calea DOROBANTILOR numarul 106,contact@infectioasecluj.ro,http://www.infectioasecluj.ro,CONSILIUL JUDETEAN CLUJ,Acreditat,Unitate aflata in proces de acreditare,,,
129,130,"INSTITUTUL DE BOLI CARDIOVASCULARE ""PROF. DR. GEORGE I.M. GEORGESCU"" IA?I",A103,Iasi,I M,specialitate,public,institut,"Strada Cristian Popi?teanu, nr. 1-3, BUCURESTI",IBCIASI@GMAIL.COM,WWW.CARDIOIASI.RO,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
130,131,SPITALUL DE PSIHIATRIE CRONICI SIRET,A104,Suceava,V,specialitate,public,fara invatamant,"ORAsUL SIRET, STR.CASTANILOR NOIEMBRIE NR.1, JUD. SUCEAVA",psihiatriesiret@yahoo.com,www.psihiatriesiret.ro,PRIMaRIA ORAsULUI SIRET,Acreditat,Categoria II Acreditat cu recomandari,,,
131,132,PENITENCIARUL SPITAL BUCURESTI - RAHOVA,A105,Bucuresti,III,specialitate,public,fara invatamant,"Str. Maria Ghiculeasa, nr 47, sector 2 Bucuresti",sprahova@anp.gov.ro,anp.gov.ro/penitenciarul-spital-bucuresti-rahova,ADMINISTRATIA NATIONALA A PENITENCIARELOR,Acreditat,Categoria II Acreditat cu recomandari,,,
132,133,"SPITALUL CLINIC ,,AVRAM IANCU� ORADEA",A108,Bihor,II,general,public,fara invatamant,"STR. MIHAI VODA, NR.17, SECTOR 5, BUCURESTI",spital.oradea@mai.gov.ro,www.spitalmaioradea.ro,DIRECTIA MEDICALA A M.A.I.,Acreditat,Unitate aflata in proces de acreditare,,,
133,134,CRESTINA MEDICALA MUNPOSAN'94 SRL,A109,Bucuresti,V,specialitate,privat,fara invatamant,"SRT. WITING, NR. 12, SECTOR 1, BUCURESTI",munposan@yahoo.com,www.munposan.ro,CRESTINA MEDICALA MUNPOSAN'94 SRL,Acreditat,Unitate aflata in proces de acreditare,,,
134,135,SPITAL ORASENESC RUPEA,A110,Brasov,IV,general,public,fara invatamant,Str.Republicii Nr 169 Rupea,secretariat@spitalrupea.ro,www.spitalrupea.ro,Primaria Orasului Rupea,Acreditat,Unitate aflata in proces de acreditare,,,
135,136,SOCIETATEA POLICLINICA DE DIAGNOSTIC RAPID SA,A1100,Brasov,IV,general,privat,fara invatamant,BRASOV STR TURNULUI NR 5A,pdr@medlife-pdr.ro,www.medlife.ro,SC POLICLINICA DE DIAGNOSTIC RAPID SA,Acreditat,Unitate aflata in proces de acreditare,,,
136,137,SPITALUL MUNICIPAL DE URGENTA ROMAN,A111,Neamt,III,urgenta,public,fara invatamant,"Piata Roman-Voda, Roman, jud. Neamt",secretariat@spitalroman.ro,www.spitalroman.ro,Primaria Municipiului Roman,Acreditat,Unitate aflata in proces de acreditare,,,
137,138,SPITALUL JUDETEAN DE URGENTA PIATRA NEAMT,A112,Neamt,III,urgenta,public,fara invatamant,"Strada Alexandu cel Bun 27, Piatra Neamt 610089",sjuneamt@sjuneamt.ro,www.sjuneamt.ro,CONSILIUL JUDEtEAN NEAMt,Acreditat,Unitate aflata in proces de acreditare,,,
138,139,SPITALUL ORA?ENESC DR.GEORGE TRIFON,A113,Bistrita-Nasaud,IV,general,public,fara invatamant,"Nasaud, Str. Piata Unirii nr. 15",secretariat@spitalnasaud.ro,www.spitalnasaud.ro,Consiliul Local Nasaud,Acreditat,Categoria III Acreditat cu rezerve,,,
139,140,"SPITALUL CLINIC DE BOLI INFECTIOASE ""SF. CUVIOASA PARASCHEVA",A114,Galati,V,specialitate,public,clinic cu sectii universitare,"Galati, Str. Eroilor, nr. 7",spitalul3@gmail.com,www.sbigl.ro,CONSILIUL JUDEtEAN GALAtI,Acreditat,Unitate aflata in proces de acreditare,,,
140,141,"SPITALUL CLINIC DE OBSTETRICA - GINECOLOGIE "" PROF. DR. PANAIT SIRBU ",A115,Bucuresti,II M,specialitate,public,clinic cu sectii universitare,"Str. Sf. Ecaterina, Nr. 3, Sector 4, Bucuresti",contact@panaitsarbu.ro,https://maternitateagiulesti.ro/,Administratia Spitalelor si Serviciilor Medicale Bucuresti,Acreditat,Unitate aflata in proces de acreditare,,,
141,142,SPITALUL JUDETEAN DE URGENTA TULCEA,A116,Tulcea,III,urgenta,public,fara invatamant,"Str. Pacii, nr. 20, cod po?tal 820033",spitaltulcea@spitaltulcea.ro,www.spitaltulcea.ro/,Consiliul Judetean Tulcea,Acreditat,Unitate aflata in proces de acreditare,,,
142,143,SPITALUL ORA?ENESC BAL?,A117,Olt,IV,general,public,fara invatamant,"BALS, STR NICOLAE BALCESCU, NR.14 JUD OLT",secretariat@spitalulbals.ro,www.spitalulbals.ro,UAT BALS,Acreditat,Unitate aflata in proces de acreditare,,,
143,144,"SPITAL DE BOLI CRONICE ?I GERIATRIE ""CONSTANTIN BALACEANU STOLNICI"" STEFANE?TI CU AMBULATORIU INTEGRAT",A118,Arges,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Piata Vasile Milea, Nr. 1",spitalul_stefanesti@yahoo.com,www.spitalulstefanesti.ro,CONSILIUL JUDETEAN ARGES,Acreditat,Categoria II Acreditat cu recomandari,,,
144,145,SPITALUL ORASENESC �SFANTUL DIMITRIE� TIRGU NEAMT,A120,Neamt,IV,general,public,fara invatamant,"STR. sTEFAN CEL MARE, NR. 62",office@spital-tirguneamt.ro,www.spital-tirguneamt.ro,AUTORITATEA PUBLICa LOCALa TiRGU NEAMt,Acreditat,Unitate aflata in proces de acreditare,,,
145,146,SPITALUL CLINIC JUDETEAN DE URGENTA �SF.APOSTOL ANDREI� GALATI,A1200,Galati,II,urgenta,public,clinic cu sectii universitare,"STR. EROILOR, NR.7, GALATI",secretariat@spitalulurgentagalati.ro,spitalulurgentagalati.ro,CONSILIUL JUDETEAN GALATI,Acreditat,Unitate aflata in proces de acreditare,,,
146,147,SPITALUL DE PNEUMOFTIZIOLOGIE SIBIU,A121,Sibiu,II M,specialitate,public,clinic cu sectii universitare,Str. General Magheru nr. 14,spitaltbcsibiu@yahoo.com,www.spital-tbc.ro,Consiliul Judetean Sibiu,Acreditat,Unitate aflata in proces de acreditare,,,
147,148,SPITALUL DE PSIHIATRIE CRONICI DUMBRAVENI,A122,Vrancea,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Intrarea Cristian Popi?teanu, nr. 1-3, sector 1, Bucuresti",spital@spitaldumbraveni.ro,www.spdumbraveni.ro,Ministerul Sanatatii,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
148,149,SPITALUL DE PNEUMOFTIZIOLOGIE BOTOSANI,A123,Botosani,V,specialitate,public,fara invatamant,Piata Revolutiei nr. 1,office@pneumobt.ro,w.w.w.pneumobt.ro,Primaria Municipiului Botosani,Acreditat,Unitate aflata in proces de acreditare,,,
149,150,SPITALUL DE PEDIATRIE PLOIESTI,A124,Prahova,V,specialitate,public,fara invatamant,"PIATA EROILOR, NR. 1A, PLOIE?TI, PRAHOVA",secretariat@spitalpediatrie.ro,www.spitalpediatrie.ro,CONSILIUL LOCAL PLOIE?TI,Acreditat,Unitate aflata in proces de acreditare,,,
150,151,PENITENCIARUL-SPITAL MIOVENI,A126,Arges,III,general,public,fara invatamant,"STR. APOLODOR NR. 17, SECTOR 5 BUCUREsTI",spmioveni@anp.gov.ro,http://anp.gov.ro/penitenciarul-spital-mioveni,MINISTERUL JUSTITIEI,Acreditat,Categoria II Acreditat cu recomandari,,,
151,152,SPITALUL ORASENESC CAMPENI,A128,Alba,IV,general,public,fara invatamant,CIMPENI,spitalul_cimpeni@yahoo.com,WWW.SPITAL CAMPENI,UNITATE ADMINISTRATIV TERITORIALA,Acreditat,Unitate aflata in proces de acreditare,,,
152,153,INSTITUTUL CLINIC DE UROLOGIE SI TRANSPLANT RENAL CLUJ-NAPOCA,A129,Cluj,I M,specialitate,public,clinic cu sectii universitare,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",icutr@renaltransplant.ro,www.renaltransplant.ro,MINISTERUL SANATATII,Acreditat,Unitate aflata in proces de acreditare,,,
153,154,SPITALUL MUNICIPAL MOTRU,A130,Gorj,IV,general,public,fara invatamant,"Municipiul Motru, Judetul Gorj, Bulevardul Garii, Nr.1,",spitalmotru@yahoo.com,www.spitalmotru.ro,CONSILIUL LOCAL MOTRU,Acreditat,Unitate aflata in proces de acreditare,,,
154,155,SPITALUL MUNICIPAL TURDA,A1300,Cluj,IV,general,public,fara invatamant,"P-TA 1 DECEMBRIE 1918, NR 28, MUN. TURDA, JUD. CLUJ",spitalmunicipalturda@yahoo.com,spitalturda.ro/,CONSILIU LOCAL TURDA,Acreditat,Unitate aflata in proces de acreditare,,,
155,156,SPITALUL DE BOLI PULMONARE BREAZA,A131,Prahova,V,specialitate,public,fara invatamant,"str. Republicii, nr. 82B, loc. Breaza, jud. Prahova",contact@spital-breaza.ro,www.spital-breaza.ro,CONSILIUL LOCAL al Orasului Breaza,Acreditat,Unitate aflata in proces de acreditare,,,
156,157,"SPITALUL CLINIC MILITAR DE URGENTA ""DR. VICTOR POPESCU"" TIMI?OARA",A132,Timis,II,urgenta,public,clinic cu sectii universitare,"BUCURE?TI, Str. Institutul Medico-Militar, nr. 3 - 5, sector 1, cod 010919",secretariat@smutm.ro,http://www.smutm.ro/,Directia Medicala a Ministerului Apararii Nationale,Acreditat,Unitate aflata in proces de acreditare,,,
157,158,"SPITALUL CLINIC MILITAR DE URGENTA ""DR. IACOB CZIHAC",A133,Iasi,II,urgenta,public,clinic cu sectii universitare,"Bucure?ti, str. Institutul Medico � Militar, nr. 3-5, sector 1, cod 010919",smuis32@yahoo.com,http://www.smuis.ro/,DIRECtIA MEDICALa A MINISTERULUI APaRaRII NAtIONALE,Acreditat,Unitate aflata in proces de acreditare,,,
158,159,"SPITALUL ""N.N. SAVEANU"" VIDRA, VRANCEA",A134,Vrancea,IV,general,public,fara invatamant,"STR. CRISTIAN POPISTEANU, 1-3",runos.spvidra@gmail.com,http://www.spitalvidra.ro,MINISTERUL SANATATII,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
159,160,SPITALUL MUNICIPAL ADJUD,A135,Vrancea,IV,general,public,fara invatamant,"Str. Stadionului, nr. 2, MUN. ADJUD, JUD VRANCEA",secretariat@spitaladjud.ro,www.spitaladjud.ro,UAT ADJUD,Acreditat,Unitate aflata in proces de acreditare,,,
160,161,SPITALUL DE PSIHIATRIE POIANA MARE,A136,Dolj,V,pentru bolnavi cu afectiuni cronice,public,fara invatamant,"Strada Cristian Popi?teanu, nr. 1-3, sector 1, cod 010024, Bucure?ti",spitpoiana@yahoo.com,www.spitalpoianamare.ro,Ministerul Sanatatii,Acreditat,Unitate aflata in proces de acreditare,,,
161,162,SPITALUL ORASENESC MOLDOVA NOUA,A137,Caras-Severin,IV,general,public,fara invatamant,"STR. NICOLAE BaLCESCU, Nr. 26, LOC. MOLDOVA NOUA, JUD. CARAS SEVERIN",office@spitalmoldovanoua.ro,www.spitalmoldovanoua.ro,CONSILIUL LOCAL AL ORASULUI MOLDOVA NOUA,Acreditat,Unitate aflata in proces de acreditare,,,
162,163,SPITAL JUDETEAN DE URGENTA MIERCUREA CIUC,A138,Harghita,III,urgenta,public,institut,"530140, P-ta LibertaTii nr. 5",secretariat@spitalmciuc.ro,www.spitalmciuc.ro,Consiliul Judetean Harghita,Acreditat,Unitate aflata in proces de acreditare,,,
163,164,SPITALUL MUNICIPAL CAMPULUNG MOLDOVENESC,A139,Suceava,IV,general,public,fara invatamant,"Str. 22 Decembrie, nr. 2",secretariat@spitalcampulungmoldovenesc.ro,www.spitalcampulungmoldovenesc.ro,Municipiul Campulung Moldovenesc,Acreditat,Unitate aflata in proces de acreditare,,,
